name,city,rating,rating_count,cost,cuisine,city_cleaned
Janta Sweet House,Abohar,4.4,50,200,"Sweets,Bakery",Abohar
theka coffee desi,Abohar,3.8,100,100,Beverages,Abohar
shere punjab veg,Abohar,4.0,100,150,North Indian,Abohar
Bharawan Da Dhaba,Abohar,4.4,50,300,Indian,Abohar
NIKKU VEG THALI,Abohar,4.1,100,150,North Indian,Abohar
IFC Restaurant,Adilabad,3.5,100,400,American,Adilabad
Hot N Chill Restaurant,Adilabad,3.5,100,150,"European,Italian",Adilabad
Devi Family Restaurant,Adilabad,3.4,50,400,"Indian,Chinese",Adilabad
Hotel Radha Grand Family restaurant,Adilabad,3.5,50,200,Biryani,Adilabad
Hotel Surabhi Grand,Adilabad,3.7,100,300,"Indian,Chinese",Adilabad
Food Court,Adilabad,3.4,50,400,"Indian,Chinese",Adilabad
Lotus Grand Family Restaurant,Adilabad,3.6,50,250,Biryani,Adilabad
Tanishq Family Restaurant,Adilabad,3.7,50,250,"Chinese,Indian",Adilabad
La Pino'z Pizza,Adityapur,4.1,500,200,"Pizzas,Fast Food",Adityapur
Chaw Box,Adityapur,3.3,100,300,"Chinese,North Indian",Adityapur
Cafe Coffee Day,Adityapur,3.7,50,300,"Beverages,Snacks",Adityapur
Aditya Inn Restaurant,Adityapur,3.6,100,150,"Biryani,Chinese",Adityapur
Indian Bakery,Adityapur,3.3,100,200,Bakery,Adityapur
The Onyx (Pure veg),Adityapur,3.8,100,300,"Indian,Chinese",Adityapur
NEW GANGOUR SWEETS (Adityapur),Adityapur,4.0,50,200,South Indian,Adityapur
National Bakery,Adityapur,4.4,50,399,"Bakery,Snacks",Adityapur
KFC,Adityapur,4.0,500,400,"American,Snacks",Adityapur
Buddha Delight - Gamharia,Adityapur,3.5,100,200,"Chinese,Indian",Adityapur
Dosa Planet,Adityapur,3.9,500,249,"South Indian,Indian",Adityapur
Pizza Hut,Adityapur,3.3,100,350,Pizzas,Adityapur
Junction,Adityapur,3.9,500,399,"Indian,Chinese",Adityapur
Kolkata Royal Biryani,Adityapur,3.7,500,150,"Biryani,Street Food",Adityapur
Yummerica Fries,Adityapur,3.8,50,400,"American,Beverages",Adityapur
New Gangour Sweets (Bistupur),Adityapur,4.3,100,99,Sweets,Adityapur
Momo Nation Cafe,Adityapur,3.8,50,200,"Nepalese,Chinese",Adityapur
NIC Natural Ice Creams,Adityapur,4.4,500,120,"Ice Cream,Desserts",Adityapur
Haldiram's Prabhuji,Adityapur,4.0,100,300,"North Indian,South Indian",Adityapur
Kanya Restaurant,Adityapur,4.1,500,200,"North Indian,Chinese",Adityapur
Domino's Pizza,Adityapur,4.1,50,400,Pizzas,Adityapur
Motel Madhuban,Adityapur,4.1,100,499,"Indian,Chinese",Adityapur
Baker Street,Adityapur,4.1,100,150,Bakery,Adityapur
Dasaprakash,Adityapur,4.3,100,400,"South Indian,North Indian",Adityapur
Little Metro,Adityapur,3.9,100,200,"North Indian,Chinese",Adityapur
The Madrasi Hotel,Adityapur,4.3,100,299,South Indian,Adityapur
Grameen Kulfi,Adityapur,4.5,100,120,"Ice Cream,Desserts",Adityapur
Asian Inn,Adityapur,4.0,1000,399,"Indian,Tandoor",Adityapur
Biggies Burger,Adityapur,3.8,100,300,"American,Fast Food",Adityapur
Kaveri (Adityapur),Adityapur,3.5,100,200,Indian,Adityapur
Subway,Adityapur,3.3,100,350,"Healthy Food,Salads",Adityapur
AUROUS RESTRO LOUNGE,Adityapur,4.0,100,500,"Continental,American",Adityapur
Anand,Adityapur,4.3,500,299,"South Indian,Indian",Adityapur
Kolkata Biryani - Jugsalai,Adityapur,3.8,50,150,Biryani,Adityapur
Milanee s Kitchen,Adityapur,4.2,100,399,"Bengali,Indian",Adityapur
Al Karim Fast Food,Adityapur,4.2,100,200,"Street Food,Chinese",Adityapur
The Moti Mahal,Adityapur,3.2,100,399,"Indian,Chinese",Adityapur
Manohar Maharaj & Sons,Adityapur,4.3,50,100,"South Indian,Chaat",Adityapur
Chinese Inn,Adityapur,4.2,50,399,"Chinese,Indian",Adityapur
New Gangour Sweets,Adityapur,4.1,50,200,"Sweets,Snacks",Adityapur
Brubeck Bakery,Adityapur,4.1,100,200,"Bakery,Desserts",Adityapur
Le Bon,Adityapur,4.2,100,399,"Bakery,Pizzas",Adityapur
TIME OUT,Adityapur,4.1,100,299,"Chaat,South Indian",Adityapur
GUAVA - ALL DAY BISTRO,Adityapur,3.8,50,300,"Chinese,Biryani",Adityapur
Olive  Multicuisine Restaurant,Adityapur,4.0,50,300,"Chinese,North Indian",Adityapur
Blooms,Adityapur,3.8,50,250,Indian,Adityapur
BIRYANI  WALE,Adityapur,2.4,50,200,Biryani,Adityapur
Pizza Peddler,Adityapur,3.8,50,200,"Pizzas,Pastas",Adityapur
Baskin Robbins,Adityapur,4.6,50,250,"Desserts,Ice Cream",Adityapur
Sagar's Kitchen Kraft,Adityapur,3.7,50,199,"Indian,Chinese",Adityapur
New US Pizza,Adityapur,3.6,100,299,"Pizzas,Snacks",Adityapur
Chef Corner,Adityapur,3.9,500,299,"Indian,Chinese",Adityapur
Mathura Mistan Bhandar,Adityapur,4.5,100,200,"Sweets,Snacks",Adityapur
Pizzapuram,Adityapur,3.7,100,200,"Pizzas,Italian",Adityapur
Gopal Dosa,Adityapur,4.1,100,100,South Indian,Adityapur
Apna Adda,Adityapur,4.1,50,150,"Chinese,Snacks",Adityapur
Babu Moshai,Adityapur,4.0,50,349,"Indian,Chinese",Adityapur
Junction Restaurant,Adityapur,3.7,1000,399,"Indian,Biryani",Adityapur
The Bihari  Resturant,Adityapur,4.4,50,200,"North Indian,Snacks",Adityapur
Delhi Darbar (Sakchi ),Adityapur,3.7,100,200,"Chinese,Biryani",Adityapur
The Hungry Bird,Adityapur,3.9,500,300,"North Indian,Chinese",Adityapur
Manohar Chat,Adityapur,4.1,100,150,"Chinese,Chaat",Adityapur
Dosa Hut,Adityapur,4.0,100,200,"South Indian,Chinese",Adityapur
Chicago Pizza,Adityapur,3.1,100,299,"Pizzas,Pastas",Adityapur
New Chappan Bhog - Sakchi,Adityapur,4.3,100,200,"Sweets,Snacks",Adityapur
Laziz Pizza,Adityapur,3.9,100,300,"Pizzas,Beverages",Adityapur
SAKCHI MISTAN BHANDAR,Adityapur,4.2,100,200,"Sweets,Snacks",Adityapur
BIKKGANE BIRYANI,Adityapur,4.1,100,350,"Biryani,Hyderabadi",Adityapur
Campus Adda,Adityapur,3.9,100,200,"Chinese,Biryani",Adityapur
NEW KOLKATA ARSALAN BIRYANI,Adityapur,3.8,50,250,"Biryani,Fast Food",Adityapur
Biryani By Kilo,Adityapur,4.1,500,600,"Biryani,Hyderabadi",Adityapur
American Waffle House,Adityapur,4.1,100,200,"Waffle,Ice Cream",Adityapur
Lakhi Egg Roll & Caterer,Adityapur,3.5,100,299,"Chinese,Indian",Adityapur
The White Rose,Adityapur,3.9,100,499,"Indian,Chinese",Adityapur
The Belgian Waffle Co.,Adityapur,4.5,100,200,"Beverages,Desserts",Adityapur
Saffron,Adityapur,4.0,100,400,"Indian,Chinese",Adityapur
Brunch Italiano (sakchi),Adityapur,3.7,50,300,Bakery,Adityapur
Uttar Dakshin,Adityapur,3.7,500,200,"Indian,Chinese",Adityapur
Silver Spoon,Adityapur,4.2,100,200,Indian,Adityapur
Pappu Hotel,Adityapur,3.0,100,200,"Biryani,Chinese",Adityapur
BIRYANI BADSHAH,Adityapur,4.1,50,350,"Biryani,Hyderabadi",Adityapur
Tinkoniya Hotel,Adityapur,3.9,50,150,"Snacks,Sweets",Adityapur
Pappu Restaurant,Adityapur,3.4,500,200,"Indian,Biryani",Adityapur
Jalsa Restaurant,Adityapur,4.3,100,200,"Bengali,Indian",Adityapur
J K Residency,Adityapur,4.1,50,400,"Indian,Continental",Adityapur
MEALS @ ONE,Adityapur,3.5,100,200,"Combo,Indian",Adityapur
Momo Square,Adityapur,3.3,50,200,"Tibetan,Nepalese",Adityapur
SAI REGENCY,Adityapur,4.0,100,200,"Indian,Biryani",Adityapur
Jiva Hotel,Adityapur,4.2,100,599,"North Indian,Chinese",Adityapur
BURGER BUDDY,Adityapur,4.2,100,150,"Burgers,Street Food",Adityapur
VADILAL ICE CREAMS,Adityapur,4.6,50,200,Ice Cream,Adityapur
Fusion Restaurant,Adityapur,3.9,500,350,"North Indian,Chinese",Adityapur
Dosa Cafe (Hotel Ganga Regency),Adityapur,4.5,100,199,South Indian,Adityapur
Hotel Ganga Regency,Adityapur,4.2,1000,399,"Indian,Chinese",Adityapur
MURARI BHOJANALAY,Adityapur,4.1,100,199,Indian,Adityapur
New Gangour Sweets (sakchi),Adityapur,4.2,50,199,"Sweets,Snacks",Adityapur
WOK (Hotel Ganga Regency),Adityapur,3.8,50,400,"Chinese,Continental",Adityapur
